Business_Sector,Business_Subsector,Business_Model,Ownership_Type,Registration_Year,Duration_Operation,Business_Age,Initial_Capital,Num_Employees,Location,Owner_Age,Owner_Gender,Business_Type,Growth_Indicator,Business_Status
Health & Social Work,NGOs & community health services,Service-based,Limited Company,2019,6,6,5029968,30,Rusizi,42,Female,Micro-enterprise,0.05,Operating
Energy & Utilities,Water supply & waste management,Hybrid,Partnership,2025,0,0,3674483,12,Rusizi,32,Female,SME,-0.15,Operating
Education & Training,Universities & research centers,Service-based,Cooperative,2022,3,3,2528587,16,Rwamagana,32,Female,Startup,0.04,Operating
Nonprofit & Community Organizations,Charities & associations,Hybrid,Sole Proprietorship,2006,19,19,6800283,43,Rwamagana,33,Male,SME,0.27,Operating
Education & Training,EdTech platforms,Service-based,Limited Company,2014,11,11,2375193,25,Rubavu,56,Female,Micro-enterprise,-0.07,Operating
"Arts, Entertainment & Recreation",Media & film industry,Service-based,Sole Proprietorship,2004,21,21,2035311,33,Musanze,34,Female,SME,0.13,Operating
Mining & Quarrying,Gold,Product-based,Partnership,2023,2,2,12427161,41,Rubavu,44,Female,SME,0.37,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Product-based,Cooperative,2010,15,15,15260596,35,Rusizi,39,Female,Startup,0.29,Closed
Construction & Real Estate,Road construction & maintenance,Product-based,Limited Company,2004,21,21,8112152,2,Nyagatare,19,Male,Micro-enterprise,0.37,Operating
Education & Training,EdTech platforms,Product-based,Cooperative,2025,0,0,1111836,7,Huye,47,Female,Startup,0.28,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Product-based,Cooperative,2004,21,21,1770210,49,Musanze,26,Female,SME,-0.11,Closed
Health & Social Work,"Hospitals, clinics, pharmacies",Product-based,Sole Proprietorship,2003,22,22,7146226,7,Kigali,29,Male,SME,0.18,Closed
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Hybrid,Partnership,2008,17,0,4598676,10,Kigali,32,Male,Micro-enterprise,-0.09,Operating
"Arts, Entertainment & Recreation",Media & film industry,Product-based,Limited Company,2002,23,0,6579031,19,Rwamagana,46,Female,SME,0.4,Operating
Education & Training,Universities & research centers,Product-based,Sole Proprietorship,2010,15,15,3676523,12,Musanze,36,Female,Startup,0.14,Closed
Nonprofit & Community Organizations,NGOs & cooperatives,Hybrid,Partnership,2012,13,13,378933,5,Rwamagana,42,Female,Micro-enterprise,0.38,Closed
Construction & Real Estate,"Architecture, engineering & technical services",Service-based,Partnership,2016,9,9,16978238,16,Rwamagana,32,Male,Startup,-0.05,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Sole Proprietorship,2013,12,12,19577001,23,Huye,35,Female,Startup,0.02,Operating
Education & Training,Vocational & technical training (TVET),Product-based,Sole Proprietorship,2020,5,5,2740223,31,Kigali,36,Female,SME,0.18,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Service-based,Sole Proprietorship,2010,15,15,5460434,41,Huye,52,Male,Micro-enterprise,0.29,Operating
Nonprofit & Community Organizations,Religious organizations,Product-based,Partnership,2000,25,25,1866628,41,Musanze,52,Female,Micro-enterprise,0.18,Closed
"Arts, Entertainment & Recreation","Music, events & performing arts",Product-based,Partnership,2021,4,4,843396,16,Rusizi,60,Male,SME,-0.08,Closed
Public Administration & Defense,Government services,Service-based,Partnership,2012,13,13,3053342,3,Kigali,37,Female,Startup,0.14,Operating
Health & Social Work,NGOs & community health services,Hybrid,Cooperative,2007,18,18,248790,46,Musanze,44,Male,Micro-enterprise,0.35,Operating
Mining & Quarrying,Gold,Product-based,Sole Proprietorship,2003,22,22,14895344,5,Rubavu,56,Male,SME,0.29,Closed
Manufacturing,"Chemicals, plastics, rubber, paints",Product-based,Partnership,2021,4,4,16200100,18,Rusizi,46,Female,Startup,-0.14,Operating
Energy & Utilities,Water supply & waste management,Product-based,Cooperative,2014,11,11,14110767,19,Musanze,40,Male,SME,0.13,Operating
"Arts, Entertainment & Recreation",Media & film industry,Service-based,Limited Company,2008,17,17,2750211,16,Musanze,49,Female,SME,0.09,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Product-based,Sole Proprietorship,2018,7,0,9770817,14,Musanze,60,Male,Startup,0.19,Closed
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Product-based,Limited Company,2016,9,9,4638233,43,Huye,41,Male,SME,-0.15,Operating
Mining & Quarrying,Gold,Hybrid,Partnership,2006,19,19,18557189,18,Rusizi,53,Female,Micro-enterprise,-0.18,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Product-based,Limited Company,2015,10,0,14301905,18,Nyagatare,22,Female,Startup,0.08,Operating
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Product-based,Sole Proprietorship,2025,0,0,8413701,25,Musanze,31,Male,SME,0.1,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Service-based,Partnership,2011,14,14,9989328,7,Rubavu,29,Female,Startup,0.03,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Cooperative,2009,16,16,19028525,36,Rubavu,62,Female,Micro-enterprise,0.43,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Hybrid,Partnership,2011,14,14,3852623,36,Rusizi,61,Female,SME,0.05,Closed
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Hybrid,Cooperative,2024,1,1,3540651,28,Nyagatare,36,Female,Micro-enterprise,0.18,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Sole Proprietorship,2024,1,1,9358182,18,Kigali,60,Male,Micro-enterprise,0.44,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Product-based,Limited Company,2002,23,23,855445,27,Rubavu,59,Male,Startup,-0.04,Closed
Health & Social Work,NGOs & community health services,Hybrid,Limited Company,2011,14,14,1961459,6,Musanze,35,Female,Startup,0.4,Operating
Transport & Logistics,Rail (future projects),Service-based,Sole Proprietorship,2008,17,17,6348588,11,Huye,53,Female,Micro-enterprise,-0.19,Closed
Nonprofit & Community Organizations,Charities & associations,Hybrid,Cooperative,2008,17,17,7052786,37,Musanze,27,Male,SME,0.05,Closed
Health & Social Work,NGOs & community health services,Service-based,Cooperative,2015,10,10,7466577,18,Rubavu,40,Male,Micro-enterprise,0.37,Operating
Public Administration & Defense,Security & defense institutions,Hybrid,Cooperative,2008,17,0,7779552,47,Rubavu,58,Male,SME,0.09,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Limited Company,2007,18,18,9322876,3,Nyagatare,43,Female,SME,0.13,Operating
Professional & Business Services,Management consulting & advisory,Service-based,Sole Proprietorship,2022,3,3,2761147,35,Rubavu,30,Male,Micro-enterprise,-0.04,Operating
Energy & Utilities,Water supply & waste management,Hybrid,Cooperative,2008,17,17,15758075,11,Huye,28,Male,Startup,0.38,Operating
Manufacturing,"Food & beverages processing (dairy, breweries, bakeries, milling)",Service-based,Limited Company,2014,11,11,13877350,34,Kigali,54,Female,SME,0.31,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Partnership,2025,0,0,7822634,10,Rwamagana,52,Female,SME,-0.03,Operating
Financial & Insurance Services,"Capital markets, investment funds",Product-based,Cooperative,2024,1,1,4068522,46,Huye,30,Female,SME,0.5,Closed
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Cooperative,2006,19,19,1424362,28,Rwamagana,41,Male,Micro-enterprise,0.04,Closed
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Service-based,Partnership,2022,3,3,1798503,13,Rusizi,38,Female,Startup,-0.17,Operating
Public Administration & Defense,Security & defense institutions,Product-based,Partnership,2000,25,25,6208802,12,Rubavu,39,Male,SME,0.17,Operating
Education & Training,EdTech platforms,Product-based,Partnership,2024,1,1,1016770,20,Huye,19,Female,Micro-enterprise,-0.04,Closed
"Arts, Entertainment & Recreation","Music, events & performing arts",Hybrid,Limited Company,2008,17,17,8872887,14,Rwamagana,49,Male,SME,0.3,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Partnership,2009,16,0,6587118,8,Musanze,35,Male,SME,-0.07,Closed
Manufacturing,Pharmaceutical & medical products,Service-based,Sole Proprietorship,2007,18,18,12312399,23,Musanze,35,Female,SME,0.42,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Product-based,Limited Company,2024,1,1,5524093,2,Kigali,28,Female,Micro-enterprise,-0.18,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Service-based,Limited Company,2009,16,16,2174076,34,Huye,60,Female,Startup,0.04,Operating
Manufacturing,"Food & beverages processing (dairy, breweries, bakeries, milling)",Hybrid,Limited Company,2024,1,1,2459125,41,Musanze,23,Female,Micro-enterprise,0.44,Closed
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Cooperative,2011,14,14,18875276,21,Huye,55,Female,Micro-enterprise,-0.08,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Service-based,Cooperative,2021,4,4,4403629,4,Huye,30,Female,Startup,0.4,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Partnership,2011,14,14,8724588,13,Musanze,52,Male,Startup,0.13,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Sole Proprietorship,2003,22,22,1328161,7,Rwamagana,20,Male,SME,0.19,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Sole Proprietorship,2025,0,0,1694884,13,Musanze,64,Female,Startup,0.48,Operating
Professional & Business Services,"Advertising, media & marketing",Hybrid,Cooperative,2022,3,3,9402992,40,Nyagatare,49,Female,Micro-enterprise,0.2,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Service-based,Partnership,2007,18,18,4719575,29,Kigali,22,Male,Startup,0.32,Operating
Manufacturing,Paper & printing,Product-based,Limited Company,2005,20,20,18337215,38,Rusizi,31,Male,SME,0.4,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Hybrid,Cooperative,2024,1,1,4740155,48,Huye,21,Female,Startup,0.4,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Limited Company,2012,13,13,253954,18,Rubavu,34,Female,Startup,0.32,Closed
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Limited Company,2012,13,13,691728,25,Huye,39,Female,SME,0.02,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Service-based,Partnership,2013,12,0,4887957,48,Nyagatare,30,Male,Micro-enterprise,0.45,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Hybrid,Cooperative,2025,0,0,4415892,7,Musanze,37,Female,SME,0.3,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Service-based,Partnership,2011,14,14,2365554,10,Kigali,41,Male,Startup,0.17,Operating
Energy & Utilities,Water supply & waste management,Service-based,Partnership,2025,0,0,13870734,9,Rusizi,51,Male,SME,0.16,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Cooperative,2016,9,9,5548395,12,Huye,27,Female,Micro-enterprise,0.34,Closed
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Hybrid,Sole Proprietorship,2002,23,23,19345033,34,Huye,63,Female,SME,0.1,Closed
Professional & Business Services,"Advertising, media & marketing",Product-based,Cooperative,2005,20,20,7863819,1,Rusizi,60,Female,Micro-enterprise,-0.19,Operating
Education & Training,EdTech platforms,Product-based,Limited Company,2024,1,1,2030334,36,Nyagatare,44,Male,SME,0.03,Operating
Manufacturing,"Cement, ceramics, building materials",Hybrid,Cooperative,2017,8,8,17876918,1,Kigali,22,Male,Startup,0,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Cooperative,2019,6,6,8995960,40,Huye,26,Female,Startup,0.49,Operating
Education & Training,Universities & research centers,Hybrid,Partnership,2024,1,0,2363588,18,Nyagatare,26,Female,Startup,0.2,Operating
Nonprofit & Community Organizations,Charities & associations,Service-based,Cooperative,2011,14,14,4234571,7,Nyagatare,36,Male,Startup,0.07,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Sole Proprietorship,2009,16,16,3398273,8,Huye,53,Female,Micro-enterprise,0.02,Operating
Education & Training,Vocational & technical training (TVET),Product-based,Sole Proprietorship,2007,18,18,3553873,34,Musanze,57,Male,SME,0.32,Operating
Transport & Logistics,"Logistics, warehousing & courier services",Hybrid,Partnership,2019,6,6,5514721,14,Nyagatare,58,Female,Startup,0.08,Operating
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Product-based,Limited Company,2019,6,6,2941696,44,Huye,32,Female,Startup,0.43,Operating
Education & Training,Universities & research centers,Hybrid,Cooperative,2009,16,16,3958197,1,Musanze,49,Male,Startup,-0.18,Operating
Professional & Business Services,"Advertising, media & marketing",Service-based,Partnership,2008,17,17,1488512,45,Huye,62,Female,Micro-enterprise,-0.11,Operating
Construction & Real Estate,Road construction & maintenance,Service-based,Cooperative,2005,20,20,18741590,35,Musanze,39,Female,Micro-enterprise,0.04,Operating
Education & Training,Vocational & technical training (TVET),Product-based,Cooperative,2009,16,16,2544378,23,Musanze,19,Female,SME,0.43,Closed
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Partnership,2003,22,22,1024298,43,Nyagatare,41,Male,Micro-enterprise,-0.06,Operating
Transport & Logistics,"Logistics, warehousing & courier services",Hybrid,Sole Proprietorship,2022,3,3,1417411,31,Musanze,61,Female,Startup,0.05,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Partnership,2012,13,13,6226050,3,Musanze,54,Male,Micro-enterprise,0.42,Operating
Professional & Business Services,Security services,Product-based,Sole Proprietorship,2000,25,25,5929980,41,Nyagatare,21,Female,SME,0.42,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Sole Proprietorship,2006,19,19,1207155,1,Musanze,62,Male,Startup,0.06,Operating
Public Administration & Defense,Government services,Product-based,Partnership,2015,10,10,4214575,46,Kigali,41,Male,Micro-enterprise,-0.2,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Service-based,Limited Company,2010,15,15,3338561,26,Rubavu,18,Male,Micro-enterprise,0.18,Operating
Manufacturing,"Chemicals, plastics, rubber, paints",Hybrid,Partnership,2000,25,25,16874554,33,Rusizi,52,Male,Micro-enterprise,0.06,Operating
Education & Training,Vocational & technical training (TVET),Service-based,Sole Proprietorship,2017,8,8,4289092,10,Nyagatare,47,Female,Micro-enterprise,0.21,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Service-based,Partnership,2002,23,23,1313640,34,Nyagatare,53,Female,Micro-enterprise,0.01,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Hybrid,Cooperative,2005,20,20,3700016,39,Musanze,25,Female,Micro-enterprise,0.16,Operating
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Product-based,Sole Proprietorship,2016,9,9,1056794,1,Musanze,52,Female,SME,-0.02,Operating
Public Administration & Defense,Government services,Service-based,Limited Company,2010,15,0,3103449,29,Musanze,63,Male,SME,0.37,Operating
Construction & Real Estate,Building & civil engineering works,Hybrid,Partnership,2002,23,23,15856106,10,Musanze,37,Female,Startup,-0.12,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Service-based,Partnership,2010,15,15,7291449,6,Huye,39,Male,SME,0.2,Closed
Financial & Insurance Services,"Capital markets, investment funds",Hybrid,Limited Company,2013,12,12,9017873,7,Huye,39,Female,Micro-enterprise,0.2,Operating
Construction & Real Estate,Building & civil engineering works,Product-based,Sole Proprietorship,2025,0,0,19164320,41,Huye,31,Female,Micro-enterprise,0.46,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Cooperative,2012,13,13,289865,26,Rubavu,37,Male,Startup,0.04,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Partnership,2001,24,24,4997033,48,Rwamagana,21,Male,SME,0.26,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Cooperative,2006,19,19,3985189,18,Rwamagana,25,Male,Startup,0.43,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Product-based,Partnership,2012,13,13,758834,32,Rusizi,31,Female,Micro-enterprise,-0.03,Operating
Energy & Utilities,Water supply & waste management,Service-based,Sole Proprietorship,2010,15,15,539358,42,Rusizi,50,Female,SME,0.3,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Sole Proprietorship,2021,4,4,4339499,27,Rwamagana,20,Male,Micro-enterprise,-0.03,Operating
Energy & Utilities,Water supply & waste management,Product-based,Partnership,2011,14,0,15044327,23,Nyagatare,19,Female,SME,-0.03,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Product-based,Limited Company,2003,22,0,12494840,8,Huye,43,Male,Micro-enterprise,-0.15,Operating
Nonprofit & Community Organizations,Religious organizations,Service-based,Limited Company,2023,2,2,1248076,32,Rwamagana,31,Male,Micro-enterprise,0.04,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Product-based,Cooperative,2017,8,8,1932744,47,Rusizi,41,Female,SME,0.04,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Limited Company,2010,15,15,8848529,44,Nyagatare,28,Female,Startup,-0.12,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Partnership,2008,17,17,9432874,25,Rubavu,62,Male,Micro-enterprise,0.07,Operating
Public Administration & Defense,Security & defense institutions,Product-based,Sole Proprietorship,2005,20,20,3285840,5,Nyagatare,56,Male,Micro-enterprise,0.41,Operating
Transport & Logistics,"Logistics, warehousing & courier services",Service-based,Sole Proprietorship,2008,17,17,3546384,19,Huye,36,Female,Startup,-0.02,Operating
Nonprofit & Community Organizations,Religious organizations,Hybrid,Sole Proprietorship,2011,14,14,7082042,7,Musanze,48,Female,SME,0.14,Operating
Energy & Utilities,Renewable energy technologies,Service-based,Partnership,2014,11,11,12691600,17,Musanze,55,Male,Micro-enterprise,-0.14,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Limited Company,2003,22,0,4176388,11,Rwamagana,64,Male,Micro-enterprise,0.15,Closed
Transport & Logistics,Rail (future projects),Hybrid,Sole Proprietorship,2014,11,0,3886979,25,Rwamagana,49,Male,Startup,0.06,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Partnership,2017,8,0,5834108,9,Huye,32,Female,Micro-enterprise,0.1,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Product-based,Limited Company,2017,8,8,1838243,14,Musanze,61,Female,Startup,-0.11,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Sole Proprietorship,2014,11,11,2880157,24,Musanze,25,Male,SME,-0.15,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Product-based,Limited Company,2019,6,6,7095819,42,Rubavu,26,Male,Micro-enterprise,0.36,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Sole Proprietorship,2002,23,23,363767,21,Nyagatare,20,Female,Micro-enterprise,0.48,Operating
Professional & Business Services,Management consulting & advisory,Service-based,Partnership,2020,5,5,1025961,21,Rusizi,36,Female,Startup,0.02,Operating
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Hybrid,Limited Company,2023,2,2,1787690,33,Rubavu,41,Female,Micro-enterprise,-0.14,Closed
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Service-based,Limited Company,2017,8,8,4179799,38,Musanze,62,Female,SME,0,Operating
Construction & Real Estate,Road construction & maintenance,Hybrid,Cooperative,2017,8,0,13270876,42,Nyagatare,51,Female,Startup,0,Operating
Health & Social Work,Health insurance providers,Hybrid,Limited Company,2017,8,8,2664765,44,Nyagatare,43,Female,Micro-enterprise,0.36,Operating
Financial & Insurance Services,"Capital markets, investment funds",Service-based,Sole Proprietorship,2017,8,8,1394435,42,Rubavu,34,Female,Micro-enterprise,0.2,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Service-based,Sole Proprietorship,2009,16,16,7427554,3,Nyagatare,62,Female,SME,0.14,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Product-based,Partnership,2012,13,13,3420007,13,Nyagatare,50,Male,Startup,0.06,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Limited Company,2011,14,14,9509318,41,Kigali,38,Male,Startup,-0.2,Closed
Professional & Business Services,Management consulting & advisory,Hybrid,Partnership,2022,3,3,8713234,11,Huye,19,Female,Micro-enterprise,0.23,Operating
Public Administration & Defense,Government services,Service-based,Sole Proprietorship,2006,19,19,3738120,38,Huye,56,Female,Startup,0.31,Closed
Construction & Real Estate,Building & civil engineering works,Hybrid,Partnership,2025,0,0,2081693,5,Kigali,36,Male,Micro-enterprise,0.16,Operating
Manufacturing,"Metal fabrication, machinery, electrical products",Product-based,Cooperative,2006,19,19,15142448,17,Huye,35,Male,Micro-enterprise,-0.18,Operating
Construction & Real Estate,Road construction & maintenance,Service-based,Cooperative,2017,8,8,17332477,1,Rubavu,31,Female,Startup,0.17,Operating
Construction & Real Estate,Real estate development & property management,Product-based,Sole Proprietorship,2001,24,24,17325222,42,Rwamagana,19,Male,SME,0.28,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Product-based,Limited Company,2023,2,2,9551461,29,Kigali,37,Female,Micro-enterprise,0.19,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Service-based,Partnership,2005,20,20,569104,32,Rusizi,22,Female,Micro-enterprise,0.34,Operating
Professional & Business Services,Security services,Hybrid,Sole Proprietorship,2022,3,3,2760985,11,Rusizi,63,Male,Micro-enterprise,0.08,Operating
Construction & Real Estate,Building & civil engineering works,Hybrid,Partnership,2022,3,3,10019249,31,Rusizi,38,Female,SME,-0.06,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Service-based,Cooperative,2019,6,0,2659667,36,Rubavu,36,Female,Startup,0.13,Operating
Public Administration & Defense,Government services,Hybrid,Partnership,2025,0,0,5203647,48,Huye,51,Male,Startup,-0.16,Operating
Health & Social Work,Health insurance providers,Service-based,Cooperative,2002,23,23,6483013,36,Rubavu,21,Male,Micro-enterprise,0.26,Closed
